AnnoS;Lau_M;Lau_F;Lau;fonte dati;Note
2022;154499;207082;361581;Anagrafe Nazionale degli Studenti universitari (ANS) - giugno 2023;DATI PROVVISORI
2021;160005;213231;373236;Anagrafe Nazionale degli Studenti universitari (ANS) - giugno 2023;
2020;153265;200344;353609;Anagrafe Nazionale degli Studenti universitari (ANS) - giugno 2023;
2019;148958;195045;344003;Anagrafe Nazionale degli Studenti universitari (ANS) - giugno 2023;
2018;141060;187149;328209;Anagrafe Nazionale degli Studenti universitari (ANS) - giugno 2023;
2017;134749;183611;318360;Anagrafe Nazionale degli Studenti universitari (ANS) - giugno 2023;
2016;131466;180505;311971;Anagrafe Nazionale degli Studenti universitari (ANS) - giugno 2023;
2015;127033;177958;304991;Anagrafe Nazionale degli Studenti universitari (ANS) - giugno 2023;
2014;126060;182163;308223;Anagrafe Nazionale degli Studenti universitari (ANS) - giugno 2023;
2013;126059;182058;308117;Anagrafe Nazionale degli Studenti universitari (ANS) - giugno 2023;
2012;123861;179072;302933;Anagrafe Nazionale degli Studenti universitari (ANS) - giugno 2023;
2011;122050;175088;297138;Anagrafe Nazionale degli Studenti universitari (ANS) - giugno 2023;
2010;117991;168190;286181;Anagrafe Nazionale degli Studenti universitari (ANS) - giugno 2023;
2009;122.877;169.933;292.810;Rilevazione Istruzione Universitaria;
2008;125.050;169.927;294.977;Rilevazione Istruzione Universitaria;
2007;126.017;174.114;300.131;Rilevazione Istruzione Universitaria;
2006;128.106;173.270;301.376;Rilevazione Istruzione Universitaria;
2005;128.869;172.429;301.298;Rilevazione Istruzione Universitaria;
2004;114.123;154.698;268.821;Rilevazione Istruzione Universitaria;
2003;103.355;131.584;234.939;Rilevazione Istruzione Universitaria;
2002;88.045;113.073;201.118;Rilevazione Istruzione Universitaria;
2001;74.623;97.183;171.806;Rilevazione Istruzione Universitaria;
